# Title: Online Malicious URL Splunk Lookup
# Updated: 2024-09-10T00:48:44Z
# Expires: 1 day (update frequency)
# Homepage: https://gitlab.com/malware-filter/urlhaus-filter
# License: https://gitlab.com/malware-filter/urlhaus-filter#license
# Source: https://urlhaus.abuse.ch/api/
"host","path","message","updated"
"106.41.51.125","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.52.18.198","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.52.247.30","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.53.181.113","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.53.213.253","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.54.199.174","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.55.102.97","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"107.145.144.57","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"107.172.76.154","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"107.173.4.10","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"107.175.229.146","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"108.162.187.11","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"108.174.58.28","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"108.233.83.51","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.107.78.7","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.111.182.149","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.120.11.26","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.171.30.19","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.190.171.149","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.199.101.109","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.225.84.48","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.248.235.149","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.69.79.44","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.69.8.230","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.74.12.246","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.87.223.241","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.92.143.90","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.92.181.49","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"109.93.92.142","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"110.143.54.213","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"110.172.170.111","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"110.188.21.234","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"110.34.7.5","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"110.40.138.5","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"110.40.180.6","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"110.42.248.7","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"110.42.250.90","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"110.49.167.189","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"111.185.127.181","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"111.185.23.84","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"111.217.175.54","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"111.229.133.32","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"111.229.187.212","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"111.229.236.116","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"111.229.236.78","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"111.230.25.167","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"111.230.95.158","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"111.231.145.137","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"111.38.106.19","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"111.61.191.213","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"111.70.30.157","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.120.173.185","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.124.6.100","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.213.105.247","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.213.98.38","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.226.224.164","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.229.162.182","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.237.130.1","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.237.233.199","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.238.167.32","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.238.2.9","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.239.96.235","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.240.245.81","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.248.105.52","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.248.106.128","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.248.109.156","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.248.114.176","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.248.115.28","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.248.191.14","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.248.191.157","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.248.191.51","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.248.20.175","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.248.81.205","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.248.81.222","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.248.81.23","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.248.81.32","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.249.75.242","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.252.252.18","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.253.119.245","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.255.66.44","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.27.189.32","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.4.110.22","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.4.110.42","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.50.168.3","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.53.154.170","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.67.250.50","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.74.185.5","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.74.95.85","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"112.93.202.153","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.106.167.11","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.160.185.79","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.160.249.9","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.160.251.236","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.221.76.124","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.228.135.227","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.228.146.128","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.228.149.54","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.228.68.39","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.228.84.99","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.229.130.46","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.229.160.55","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.229.188.176","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.229.4.37","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.229.45.168","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.230.100.247","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.230.123.13","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.231.127.50","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.231.235.247","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.231.247.8","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.236.109.179","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.236.139.50","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.236.148.203","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.236.152.37","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.236.220.82","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.237.103.51","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.237.106.211","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.237.34.14","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.237.56.184","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.237.98.215","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.238.100.218","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.238.103.147","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.238.15.41","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.238.16.155","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.238.162.246","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.238.170.2","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.238.198.155","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.238.198.175","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.238.249.207","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.238.65.36","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.239.108.177","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.239.220.251","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.239.237.169","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.239.255.4","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.239.255.71","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.239.71.140","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.24.165.105","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.245.219.27","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.254.192.161","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"113.94.209.228","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"114.115.141.157","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"114.199.217.58","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"114.220.154.210","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"114.226.169.217","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"114.242.13.218","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"114.55.119.40","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"114.55.250.233","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"114.55.34.218","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"114.7.20.38","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.149.165.248","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.159.149.77","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.160.162.10","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.165.209.73","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.211.113.69","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.245.112.26","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.28.26.10","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.48.146.254","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.48.154.190","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.48.162.119","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.48.34.35","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.48.8.197","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.49.127.146","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.49.65.200","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.50.133.74","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.50.211.112","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.50.31.179","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.50.38.83","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.50.4.142","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.50.56.146","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.50.64.236","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.50.67.90","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.51.242.0","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.51.35.49","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.51.93.67","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.52.21.213","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.52.46.222","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.53.195.139","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.55.199.130","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.55.226.230","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.55.23.37","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.55.231.50","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.55.232.237","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.55.244.153","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.55.27.132","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.55.54.65","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.55.56.114","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.55.74.112","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.55.85.34","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.56.109.121","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.56.113.48","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.57.112.172","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.57.59.88","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.58.121.104","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.58.124.245","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.58.142.118","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.58.15.89","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.58.152.229","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.59.16.222","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.62.1.162","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.62.182.148","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.63.13.126","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.63.190.202","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.63.248.188","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.63.52.125","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.63.53.124","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.63.58.104","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.91.245.86","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"115.94.9.181","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"116.103.228.193","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"116.108.209.16","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"116.138.108.196","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"116.138.130.42","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"116.138.190.132","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"116.138.217.68","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"116.138.218.149","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"116.139.179.124","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"116.139.182.212","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
